Date,Open,High,Low,Close,Adj Close,Volume
2004-09-29,47.799999,47.799999,47.799999,47.799999,40.194988,1900
2004-09-30,48.369999,48.509998,48.290001,48.400002,40.699535,1600
2004-10-01,48.810001,49.090000,48.810001,49.020000,41.220882,400
2004-10-04,49.500000,49.500000,49.369999,49.389999,41.532009,1300
2004-10-05,49.180000,49.180000,49.070000,49.070000,41.262932,800
2004-10-06,49.220001,49.430000,49.220001,49.430000,41.565655,600
2004-10-07,49.320000,49.360001,49.209999,49.209999,41.380650,600
2004-10-08,49.070000,49.070000,48.619999,48.689999,40.943390,5200
2004-10-11,48.689999,48.689999,48.689999,48.689999,40.943390,0
2004-10-12,48.700001,48.750000,48.590000,48.750000,40.993843,1300
2004-10-13,48.910000,48.910000,48.650002,48.650002,40.909756,800
2004-10-14,48.509998,48.509998,48.259998,48.259998,40.581799,200
2004-10-15,48.320000,48.610001,48.240002,48.439999,40.733158,2600
2004-10-18,48.250000,48.250000,48.250000,48.250000,40.573383,100
2004-10-19,49.009998,49.150002,48.840000,48.840000,41.069534,1900
2004-10-20,48.330002,48.380001,48.160000,48.290001,40.607021,1700
2004-10-21,48.400002,48.720001,48.400002,48.720001,40.968613,1500
2004-10-22,48.880001,48.880001,48.730000,48.730000,40.977024,1000
2004-10-25,48.180000,48.180000,48.119999,48.160000,40.497711,1500
2004-10-26,48.430000,48.430000,48.430000,48.430000,40.724747,100
2004-10-27,48.880001,49.750000,48.880001,49.750000,41.834736,1100
2004-10-28,49.959999,50.160000,49.900002,50.160000,42.179512,2400
2004-10-29,50.189999,50.189999,50.060001,50.060001,42.095417,300
2004-11-01,50.090000,50.290001,50.090000,50.250000,42.255184,3300
2004-11-02,50.490002,50.849998,50.490002,50.840000,42.751320,5900
2004-11-03,51.139999,51.139999,50.759998,50.759998,42.684048,2800
2004-11-04,51.150002,51.700001,51.150002,51.700001,43.474499,2000
2004-11-05,52.130001,52.240002,51.930000,52.080002,43.794037,4000
2004-11-08,52.150002,52.150002,51.889999,52.009998,43.735168,2000
2004-11-09,52.009998,52.099998,52.009998,52.090000,43.802448,500
2004-11-10,52.189999,52.320000,52.110001,52.119999,43.827667,1900
2004-11-11,52.240002,52.570000,52.099998,52.570000,44.206078,900
2004-11-12,52.459999,53.029999,52.459999,53.029999,44.592884,1600
2004-11-15,53.009998,53.209999,52.980000,53.200001,44.735844,4700
2004-11-16,52.820000,52.939999,52.720001,52.860001,44.449936,1900
2004-11-17,53.330002,53.330002,52.900002,52.950001,44.525623,14200
2004-11-18,52.810001,52.880001,52.779999,52.880001,44.466759,1200
2004-11-19,52.560001,52.560001,52.389999,52.389999,44.054718,400
2004-11-22,52.549999,52.779999,52.230000,52.770000,44.374256,14900
2004-11-23,52.930000,53.099998,52.770000,52.980000,44.550850,8400
2004-11-24,53.450001,53.450001,53.180000,53.380001,44.887203,6200
2004-11-26,53.520000,53.549999,53.459999,53.520000,45.004929,1100
2004-11-29,53.650002,53.650002,52.830002,53.250000,44.777882,16900
2004-11-30,53.000000,53.000000,52.700001,52.740002,44.349030,53200
2004-12-01,52.990002,53.490002,52.990002,53.470001,44.962887,2100
2004-12-02,53.209999,53.810001,53.209999,53.549999,45.030155,3400
2004-12-03,53.430000,53.430000,53.259998,53.430000,44.929253,1700
2004-12-06,53.230000,53.369999,53.090000,53.320000,44.836746,6900
2004-12-07,53.400002,53.439999,52.959999,52.959999,44.534027,4300
2004-12-08,53.009998,53.220001,52.810001,53.150002,44.693806,5000
2004-12-09,53.230000,53.419998,53.230000,53.419998,44.920845,300
2004-12-10,53.599998,53.709999,53.529999,53.709999,45.164700,1200
2004-12-13,53.610001,53.750000,53.520000,53.730000,45.181511,2100
2004-12-14,53.730000,54.230000,53.730000,54.230000,45.601955,800
2004-12-15,54.490002,54.560001,54.250000,54.520000,45.845821,3100
2004-12-16,54.279999,54.549999,54.230000,54.230000,45.601955,2200
2004-12-17,54.270000,54.270000,54.130001,54.209999,45.585152,400
2004-12-20,54.349998,54.450001,53.970001,54.090000,45.484249,42200
2004-12-21,54.240002,54.599998,54.169998,54.549999,45.871059,1300
2004-12-22,54.279999,54.470001,54.279999,54.389999,46.031860,1600
2004-12-23,54.560001,54.560001,54.419998,54.439999,46.074173,1900
